Search terms report
"January 17, 2024 - February 15, 2024"
Search term,Match type,Added/Excluded,Campaign,Ad group,Keyword,Impr.,Interactions,Clicks,Currency code,Cost,Conversions,Campaign type
2000 kwh solar system,Exact match,Added,G_S_NB_Generic_CA,Solar Systems,[2000 kwh solar system],1,0,0,USD,0.00,0.00,Search
how do solar panels work with your electric bill,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar - list,"""solar power energy""",1,0,0,USD,0.00,0.00,Search
solar company ratings california,Exact match (close variant),None,G_S_NB_Generic_CA,California,[best solar company in california],1,0,0,USD,0.00,0.00,Search
500w 태양 광 패널 가격,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Systems,"""solar energy system""",1,0,0,USD,0.00,0.00,Search
solar reviews sunpower,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Panels,solar panels,1,0,0,USD,0.00,0.00,Search
q cells 400w price,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Cost,"""solar panels cost""",1,0,0,USD,0.00,0.00,Search
solar rebate 2024,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Panels,"""solar panel programs""",1,0,0,USD,0.00,0.00,Search
how much is a solar system for a 2000 sq ft house,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Calculator,"""how much solar panels do i need""",1,0,0,USD,0.00,0.00,Search
솔라 엣지,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar - list,"""solar""",1,0,0,USD,0.00,0.00,Search
solares para casa,Broad match,None,G_S_NB_Generic_CA,Solar Installation,solar power installation,1,0,0,USD,0.00,0.00,Search
california solar and electric,Phrase match,None,G_S_NB_Generic_CA,Solar - list,"""solar""",3,0,0,USD,0.00,0.00,Search
how much are leased solar panels,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Incentives/Credits,"""solar panel deals""",1,0,0,USD,0.00,0.00,Search
eecu solar loan,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Leasing/Financing,"""financing solar""",1,0,0,USD,0.00,0.00,Search
solar palmdale ca,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Panels,"""solar panel""",2,0,0,USD,0.00,0.00,Search
financing solar,Exact match,Added,G_S_NB_Generic_CA,Solar Leasing/Financing,[financing solar],3,1,1,USD,20.44,0.00,Search
solar finance company,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Companies,"""solar company""",1,0,0,USD,0.00,0.00,Search
tier 1 solar panels,Phrase match,None,G_S_NB_Generic_TX,Solar Panels,"""solar panels""",1,0,0,USD,0.00,0.00,Search
solar exclusive cost,Phrase match,None,G_S_NB_Generic_TX,Solar - list,"""solar""",1,0,0,USD,0.00,0.00,Search
4000 kwh per month solar system,Broad match,None,G_S_NB_Generic_TX,Solar Calculator,solar panel cost calculator,1,1,1,USD,7.66,0.00,Search
emergency solar panel,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar - list,"""solar options""",1,0,0,USD,0.00,0.00,Search
